103.21.28.42,中国,湖南省,娄底市,中国,香港,香港
103.21.27.42,中国,湖南省,娄底市,泰国,帕那空寺,大城府
103.21.26.42,中国,湖南省,娄底市,泰国,帕那空寺,大城府
103.21.25.42,中国,湖南省,娄底市,泰国,曼谷,曼谷
103.21.24.42,中国,湖南省,娄底市,泰国,帕那空寺,大城府
103.21.23.42,中国,湖南省,娄底市,澳大利亚,维多利亚,墨尔本
103.21.22.42,中国,湖南省,娄底市,澳大利亚,维多利亚,墨尔本
103.21.21.42,中国,湖南省,娄底市,澳大利亚,维多利亚,墨尔本
103.21.20.42,中国,湖南省,娄底市,澳大利亚,维多利亚,墨尔本
103.21.19.42,中国,湖南省,娄底市,印度,哈里亚纳邦,古尔冈
103.21.18.42,中国,湖南省,娄底市,印度,哈里亚纳邦,古尔冈
103.21.17.42,中国,湖南省,娄底市,澳大利亚,维多利亚,墨尔本
103.21.16.42,中国,湖南省,娄底市,印度,卡纳塔克邦,Doddaballapura
103.21.15.42,中国,湖南省,娄底市,菲律宾,马尼拉,帕赛大都会








